,Course,Section,Title,Description
55,SEIS 631,SEIS 631,Data Preparation and Analysis,"This course provides a broad introduction to the subject of data analysis by introducing common techniques that are essential for analyzing and deriving meaningful information from datasets. In particular, the course will focus on relevant methods for performing data collection, representation, transformation, and data-driven decision making. The course will introduce students to Statistical Science including Probability Distribution, Sampling Distribution, Statistical Inference, and Significance Testing. Students will also develop proficiency in the widely used Python language which will be used throughout the course to reinforce the topics covered. Packages like NumPy and Pandas will be discussed at length for Data Cleaning, Data Wrangling: Joins, Combine, Data Reshape, Data Aggregation, Group Operation, and Time Series analysis. Prerequisite: SEIS 603"
56,SEIS 632,SEIS 632,Data Analytics & Visualization,"Even the most insightful data analysis has limited value if analysts cannot convey clear, actionable insights to non-technical audiences. This course develops the critical skills necessary to transform complex quantitative findings into compelling data stories and visualizations. Students will learn how to leverage visual design principles that speak directly to human cognitive abilities, guiding business stakeholders toward data-driven decisions. The curriculum covers creating meaningful graphs, reports, and dashboards that improve comprehension, catalyze communication, and enable fact-based choices. By mastering techniques for visualizing and explaining data, students will become adept at distilling analytical conclusions into incisive narratives readily grasped by diverse audiences. Upon completion, they will have obtained hands-on experience with state-of-the-art data visualization tools to generate impactful data-driven visual insights."
57,SEIS 632,SEIS 632,Data Analytics & Visualization,"Even the most insightful data analysis has limited value if analysts cannot convey clear, actionable insights to non-technical audiences. This course develops the critical skills necessary to transform complex quantitative findings into compelling data stories and visualizations. Students will learn how to leverage visual design principles that speak directly to human cognitive abilities, guiding business stakeholders toward data-driven decisions. The curriculum covers creating meaningful graphs, reports, and dashboards that improve comprehension, catalyze communication, and enable fact-based choices. By mastering techniques for visualizing and explaining data, students will become adept at distilling analytical conclusions into incisive narratives readily grasped by diverse audiences. Upon completion, they will have obtained hands-on experience with state-of-the-art data visualization tools to generate impactful data-driven visual insights."
58,SEIS 632,SEIS 632,Data Analytics & Visualization,"Even the most insightful data analysis has limited value if analysts cannot convey clear, actionable insights to non-technical audiences. This course develops the critical skills necessary to transform complex quantitative findings into compelling data stories and visualizations. Students will learn how to leverage visual design principles that speak directly to human cognitive abilities, guiding business stakeholders toward data-driven decisions. The curriculum covers creating meaningful graphs, reports, and dashboards that improve comprehension, catalyze communication, and enable fact-based choices. By mastering techniques for visualizing and explaining data, students will become adept at distilling analytical conclusions into incisive narratives readily grasped by diverse audiences. Upon completion, they will have obtained hands-on experience with state-of-the-art data visualization tools to generate impactful data-driven visual insights."
59,SEIS 651,SEIS 651,AI Ethics,"The purpose of this course is to guide students through the knowledge, skills, and opportunities needed to develop an ethical foundation on which they can build their careers as AI practitioners or as professionals in other fields that have been or will be impacted by AI. We will explore a variety of ethical issues related to the development and use of AI across multiple fields of study, with an emphasis on the human impact of AI. Course topics will cover a range of foundational AI concepts including data preparation, bias, neural networks, natural language processing, large language models, generative AI, model validation, and more, in the context of issues like discrimination, misinformation, intellectual property, regulation, jobs, and humanity at large. Class sessions are comprised of a weekly “hot topic” where we will explore the ethical implications of current events in AI, a lecture period, and lab where students have the opportunity to discuss and apply the course material to practical and theoretical exercises. This course is intended for both technical and non-technical audiences."
60,SEIS 663,SEIS 663,Introduction to Cybersecurity,"This overview course will provide the foundation of information technology security, including authentication, authorization, access management, physical security, network security (firewalls, intrusion detection), application security (software and database), digital privacy, technology risk management, regulatory compliance, and security operations (e.g., incident response, monitoring, continuity). We will explore social engineering and other human factors and the impact to security."
61,SEIS 709,SEIS 709,Enterprise Archit & Strategy,"This course provides students with a theoretical and practical understanding of Strategy and Enterprise Architecture (EA).  It studies how EA enables organizations to effectively accomplish their business goals.  Specifically, the course analyzes the relationships among business strategies, IT strategies, business, applications, information, and technology architectures.  It also examines current industry trends such as: design thinking, digital transformation, cloud migration, and introduces students to EA implementation frameworks and tools."
62,SEIS 732,SEIS 732,Data Stores and Feature Design,"The real world is messy and a data scientist’s job will be to make sense of it. This course will dive into specialized data formats, such as time series, geospatial data, semi-structured and the data management systems and considerations required to load and extract information from them. Leveraging both creativity and context data scientists can design highly impactful features for machine learning applications by using SQL and Python to transform data. This course aims to provide hands-on experience working with these data formats and the power of developing novel metrics and features for analytics and machine learning. To do this effectively, this course will compare and contrast the conceptual designs of relational, data warehouse, NoSQL, and other data systems so that practitioners can utilize these systems to their fullest. Lastly, enterprises are investing heavily in data governance, data lineage, and metadata management to better preserve contextual information about their data. These systems will be covered as they will increasingly be required to enable disparate sources of information to be leveraged together and crucial for data scientists to build accurate and ethical models for deployment. Prerequisites: SEIS 630 and SEIS 631"
63,SEIS 732,SEIS 732,Data Stores and Feature Design,"The real world is messy and a data scientist’s job will be to make sense of it. This course will dive into specialized data formats, such as time series, geospatial data, semi-structured and the data management systems and considerations required to load and extract information from them. Leveraging both creativity and context data scientists can design highly impactful features for machine learning applications by using SQL and Python to transform data. This course aims to provide hands-on experience working with these data formats and the power of developing novel metrics and features for analytics and machine learning. To do this effectively, this course will compare and contrast the conceptual designs of relational, data warehouse, NoSQL, and other data systems so that practitioners can utilize these systems to their fullest. Lastly, enterprises are investing heavily in data governance, data lineage, and metadata management to better preserve contextual information about their data. These systems will be covered as they will increasingly be required to enable disparate sources of information to be leveraged together and crucial for data scientists to build accurate and ethical models for deployment. Prerequisites: SEIS 630 and SEIS 631"
64,SEIS 739,SEIS 739,"SW Analysis, Design, and Impl","The course is a unique culmination of software development practices taught in the Master of Software Engineering program and provides students an opportunity to create and showcase a capstone project by implementing a full-stack application. This capstone class provides Software Engineering students with the unique opportunity to conceptualize, design, and implement a project related to their chosen domain. During the project, students build competence in a modern interactive and incremental development methodology; students will refine their acquisition skills and analysis of program requirements. Students will also learn software design patterns and create sophisticated architectural and operational diagrams. Automated software tests will be run, and continuous integration deployment principles will be performed. Prerequisite: SEIS 602, and SEIS 610, and SEIS 622"
65,SEIS 744,SEIS 744,IoT with Machine Learning,"This course is designed for students to be exposed to technologies and best practices that help them understand both the high-level concepts at a systems level and the supporting technologies that make up the combination of Machine Learning and the Internet of Things. TinyML, short for Tiny Machine Learning is a fast-growing field of Machine Learning technologies that are able to run on-device sensor data analytics using extremely low power. Improvements in optimization algorithms and frameworks for running inferences at the edge, it is now possible to make IoT devices smarter. Students will get to build a rapid prototype of a real product and put it into practice to collect and analyze data to make predictions. The course will provide a foundation on capturing data from the physical world and applying Machine Learning techniques to gain predictions and insights at the edge. Prerequisites: SEIS 601 or SEIS 603 or an equivalent understanding of foundational programming concepts."
66,SEIS 745,SEIS 745,Data Lake Engineering,"Individuals generate more data than ever before as they interact with websites, social platforms, streaming services, and increasingly data-driven industries like healthcare, retail, and energy. A growing number of connected devices continuously stream data using familiar web protocols and patterns. In our increasingly digital world, this data is depended upon to drive artificial intelligence and automation in near real-time. Before data can be relied upon to drive AI, however, it must be integrated, carefully curated, and governed at scale. It falls on data engineers to bring together data from various sources and contextualize those datasets to produce intelligence. Massively distributed Data Lake platforms empower engineers to work with datasets at a volume and variety not suitable for traditional, relational databases. This hands-on course focuses on data collection, storage, and analysis on a cloud Data Lake architecture, covering both batch and streaming pipelines. Additionally, it explores NoSQL database paradigms that facilitate low-latency queries over distributed and often unstructured or semi-structured datasets. Expect to learn fundamental concepts and gain practical experience working with different types of data, all within a reliable cloud lab environment. Prerequisites: (SEIS 601 or SEIS 603) and SEIS 630"
67,SEIS 745,SEIS 745,Data Lake Engineering,"Individuals generate more data than ever before as they interact with websites, social platforms, streaming services, and increasingly data-driven industries like healthcare, retail, and energy. A growing number of connected devices continuously stream data using familiar web protocols and patterns. In our increasingly digital world, this data is depended upon to drive artificial intelligence and automation in near real-time. Before data can be relied upon to drive AI, however, it must be integrated, carefully curated, and governed at scale. It falls on data engineers to bring together data from various sources and contextualize those datasets to produce intelligence. Massively distributed Data Lake platforms empower engineers to work with datasets at a volume and variety not suitable for traditional, relational databases. This hands-on course focuses on data collection, storage, and analysis on a cloud Data Lake architecture, covering both batch and streaming pipelines. Additionally, it explores NoSQL database paradigms that facilitate low-latency queries over distributed and often unstructured or semi-structured datasets. Expect to learn fundamental concepts and gain practical experience working with different types of data, all within a reliable cloud lab environment. Prerequisites: (SEIS 601 or SEIS 603) and SEIS 630"
68,SEIS 755,SEIS 755,UI/UX Design,"The course will introduce students to the methods and tools used in User Experience (UX) and User Interface (UI) design. UxDesign will provide an introduction to the foundation of each of the design stage of a product’s lifecycle/journey, and will provide a key understanding on the components required to ensure the end product will meet end user needs. Some of the topics discussed in the course include User Experience Design, Design Thinking, Human Centered Design, UxDesign techniques, such as: personas, user stories / user story mapping, storyboards, wireframing, UxDesign methods, such as: design methods, design prioritization, and rapid/interactive UI development; and coverage of key prototyping tools and software."
69,SEIS 763,SEIS 763,Machine Learning,"Machine Learning builds computational systems that learn from and adapt to the data presented to them. It has become one of the essential pillars in information technology today and provides a basis for several applications we use daily in diverse domains such as engineering, medicine, finance, and commerce. This course covers widely used supervised and unsupervised machine learning algorithms used in industry in technical depth, discussing both the theoretical underpinnings of machine learning techniques and providing hands-on experience in implementing them. Additionally, students will also learn to evaluate effectiveness and avoid common pitfalls in applying machine learning to a given problem. Prerequisites: SEIS 631 and 632, 632 can be taken concurrently."
70,SEIS 763,SEIS 763,Machine Learning,"Machine Learning builds computational systems that learn from and adapt to the data presented to them. It has become one of the essential pillars in information technology today and provides a basis for several applications we use daily in diverse domains such as engineering, medicine, finance, and commerce. This course covers widely used supervised and unsupervised machine learning algorithms used in industry in technical depth, discussing both the theoretical underpinnings of machine learning techniques and providing hands-on experience in implementing them. Additionally, students will also learn to evaluate effectiveness and avoid common pitfalls in applying machine learning to a given problem. Prerequisites: SEIS 631 and 632, 632 can be taken concurrently."
71,SEIS 764,SEIS 764,Artificial Intelligence,"Artificial Intelligence has made significant strides in recent times and has become ubiquitous in the modern world, impacting our lives in different ways. By harnessing the power of deep neural networks, it is now possible to build real-world intelligent applications that outperform human precision in certain tasks. This course provides a broad coverage of AI techniques with a focus on industry application. Major topics covered in this course include: (1) how deep neural networks learn their intelligence, (2) self-learning from raw data, (3) common training problems and solutions, (4) transferring learning from existing AI systems, (5) training AI systems for machine visions with high accuracy, and (6) training time-series AI systems for recognizing sequential patterns. Students will have hands-on exercises for building efficient AI systems. Prerequisite: SEIS 763"
72,SEIS 765,SEIS 765,MLOps,"In the rapidly evolving landscape of machine learning and artificial intelligence, the efficient deployment, management, and monitoring of machine learning models are crucial for successful and sustainable outcomes. The Machine Learning Operations (MLOps) course is designed to equip participants with the knowledge and skills needed to bridge the gap between machine learning development and operational deployment. Through a comprehensive curriculum, hands-on labs, and real-world case studies, participants will learn the essential principles and practices that enable seamless collaboration between data scientists, machine learning engineers, and operations teams. This course covers key concepts, tools, and strategies used in MLOps, helping organizations streamline their machine learning pipelines and enhance the reliability, scalability, and maintainability of their models. Prerequisite: SEIS 763"
73,SEIS 766,SEIS 766,Vision AI,"This course offers an interactive learning experience that delves into how machines perceive, analyze, and react to images and visual cues. You'll gain a greater understanding of images, videos, and their processing algorithms through hands-on activities. By working on practical tasks like manipulating images and experimenting with Generative AI models like GANs, you'll discover the vast applications of Vision AI. Industries such as entertainment and healthcare are already benefiting from these technologies, which enable machines to recognize patterns, predict outcomes, and even create art. With this course, you'll learn both the theoretical and practical aspects of Vision AI, empowering you to combine your creativity with cutting-edge technology. At the end of this course, students will develop skill sets in visual intelligence and be poised to shape the future of this exciting field. Prerequisite: SEIS 764 Artificial Intelligence"
74,SEIS 767,SEIS 767,Conversational AI,"This course will explore the dynamic intersection of machine intelligence and human conversation. Throughout this course, you'll discover the profound practical benefits of Conversational AI. Businesses can revamp their approach to customer communication, leading to instant query resolution and increased customer loyalty. If you're inclined towards data, you'll appreciate how Conversational AI can simplify complex data sets, pulling out meaningful insights faster than ever. Consider the significant boost in productivity for general workplace scenarios when intuitive AI systems handle routine tasks, such as scheduling and information retrieval. We've structured this course to give you both a solid grounding in the theoretical aspects of Conversational AI and hands-on experience with its real-world applications. Whether you aim to refine customer interactions in a business setting, optimize data analysis, or enhance workplace productivity, this course promises to be transformative. Get ready to delve deep; by the end, students will be well-equipped to lead the charge in shaping the future of communication and productivity. 
Prerequisite: SEIS 764 Artificial Intelligence"
75,SEIS 795,SEIS 795,Independent Study,Independent study allows students to explore a subject of interest outside of the current curriculum or a topic to explore in greater depth to enhance learning and expertise. Students are required to create an independent study project proposal under the supervision of a department faculty member. Approved and completed independent study projects may apply as an elective in Graduate Software programs. Prerequisite: Department and instructor approval is required for registration. Contact the department to register.
